X,Y
0.00000,233.714
0.01042,231.429
0.02083,230.857
0.03125,233.857
0.04167,233.143
0.05208,231.143
0.06250,232.571
0.07292,232.143
0.08333,233.000
0.09375,231.143
0.10417,232.571
0.11458,228.714
0.12500,230.714
0.13542,229.857
0.14583,229.714
0.15625,229.000
0.16667,227.429
0.17708,224.143
0.18750,227.571
0.19792,224.143
0.20833,220.429
0.21875,227.000
0.22917,224.857
0.23958,222.143
0.25000,221.857
0.26042,223.143
0.27083,219.286
0.28125,220.714
0.29167,218.286
0.30208,220.857
0.31250,217.143
0.32292,216.714
0.33333,214.714
0.34375,213.143
0.35417,210.429
0.36458,204.857
0.37500,204.714
0.38542,201.000
0.39583,200.714
0.40625,199.857
0.41667,196.714
0.42708,197.143
0.43750,194.857
0.44792,195.286
0.45833,193.429
0.46875,188.714
0.47917,185.286
0.48958,179.571
0.50000,183.571
0.51042,183.714
0.52083,179.000
0.53125,177.286
0.54167,171.857
0.55208,171.571
0.56250,175.571
0.57292,175.857
0.58333,175.571
0.59375,172.714
0.60417,170.571
0.61458,164.571
0.62500,156.714
0.63542,154.429
0.64583,149.571
0.65625,148.571
0.66667,150.000
0.67708,145.857
0.68750,144.714
0.69792,149.143
0.70833,146.571
0.71875,143.571
0.72917,141.857
0.73958,134.286
0.75000,134.571
0.76042,129.286
0.77083,130.143
0.78125,125.714
0.79167,128.857
0.80208,134.000
0.81250,131.429
0.82292,127.000
0.83333,124.286
0.84375,121.571
0.85417,112.429
0.86458,108.286
0.87500,102.714
0.88542,102.857
0.89583,98.857
0.90625,99.429
0.91667,104.000
0.92708,105.571
0.93750,103.429
0.94792,102.714
0.95833,99.143
0.96875,95.571
0.97917,88.429
0.98958,86.714
1.00000,80.857
1.01042,78.000
1.02083,79.143
1.03125,78.000
1.04167,78.286
1.05208,78.714
1.06250,84.000
1.07292,83.286
1.08333,84.571
1.09375,82.714
1.10417,85.571
1.11458,83.143
1.12500,89.143
1.13542,78.714
1.14583,77.714
1.15625,67.429
1.16667,61.571
1.17708,52.429
1.18750,48.286
1.19792,45.000
1.20833,36.143
1.21875,36.714
1.22917,28.429
1.23958,27.429
1.25000,30.857
1.26042,27.571
1.27083,29.286
1.28125,30.714
1.29167,35.143
1.30208,33.571
1.31250,38.000
1.32292,38.429
1.33333,39.000
1.34375,38.429
1.35417,33.143
1.36458,30.714
1.37500,27.429
1.38542,31.143
1.39583,30.000
1.40625,40.714
1.41667,40.571
1.42708,35.571
1.43750,42.571
1.44792,34.857
1.45833,42.143
1.46875,46.714
1.47917,38.286
1.48958,58.143
1.50000,50.286
1.51042,41.429
1.52083,49.857
1.53125,43.143
1.54167,36.714
1.55208,46.143
1.56250,47.286
1.57292,40.571
1.58333,53.714
1.59375,57.571
1.60417,43.429
1.61458,43.571
1.62500,49.714
1.63542,50.857
1.64583,40.857
1.65625,44.286
1.66667,53.571
1.67708,51.857
1.68750,46.000
1.69792,64.000
1.70833,77.714
1.71875,78.429
1.72917,62.000
1.73958,57.286
1.75000,69.000
1.76042,87.286
1.77083,81.571
1.78125,64.714
1.79167,49.429
1.80208,50.286
1.81250,64.857
1.82292,83.429
1.83333,91.000
1.84375,93.571
1.85417,77.143
1.86458,55.714
1.87500,41.571
1.88542,37.714
1.89583,43.714
1.90625,59.143
1.91667,76.714
1.92708,97.571
1.93750,116.000
1.94792,131.714
1.95833,136.286
1.96875,139.143
1.97917,137.000
1.98958,134.429
2.00000,132.571
2.01042,131.714
2.02083,125.286
2.03125,128.429
2.04167,126.286
2.05208,131.857
2.06250,136.571
2.07292,137.143
2.08333,136.143
2.09375,139.857
2.10417,130.286
2.11458,128.571
2.12500,111.857
2.13542,105.857
2.14583,91.429
2.15625,92.286
2.16667,91.857
2.17708,99.143
2.18750,115.714
2.19792,129.571
2.20833,141.571
2.21875,141.286
2.22917,132.714
2.23958,126.000
2.25000,129.286
2.26042,133.286
2.27083,148.143
2.28125,159.857
2.29167,155.571
2.30208,147.714
2.31250,148.286
2.32292,159.000
2.33333,170.000
2.34375,172.429
2.35417,166.286
2.36458,170.000
2.37500,170.714
2.38542,170.286
2.39583,168.714
2.40625,178.000
2.41667,181.714
2.42708,181.714
2.43750,185.286
2.44792,183.857
2.45833,190.000
2.46875,186.571
2.47917,190.429
2.48958,193.000
2.50000,191.571
2.51042,193.571
2.52083,192.429
2.53125,189.143
2.54167,192.000
2.55208,198.000
2.56250,192.571
2.57292,196.000
2.58333,197.857
2.59375,195.286
2.60417,200.286
2.61458,199.571
2.62500,198.714
2.63542,207.000
2.64583,207.143
2.65625,209.857
2.66667,213.714
2.67708,213.143
2.68750,216.857
2.69792,216.143
2.70833,216.857
2.71875,212.571
2.72917,216.143
2.73958,218.286
2.75000,221.429
2.76042,223.143
2.77083,221.857
2.78125,225.571
2.79167,224.714
2.80208,229.286
2.81250,228.714
2.82292,228.000
2.83333,225.143
2.84375,225.000
2.85417,225.000
2.86458,225.429
2.87500,225.571
2.88542,226.857
2.89583,227.000
2.90625,226.857
2.91667,229.143
2.92708,228.857
2.93750,228.571
2.94792,227.286
2.95833,227.000
2.96875,229.000
2.97917,228.571
2.98958,231.429
3.00000,228.714
3.01042,230.143
3.02083,232.571
3.03125,232.000
3.04167,233.143
3.05208,235.571
3.06250,231.714
3.07292,231.429
3.08333,232.714
3.09375,232.714
3.10417,232.857
3.11458,233.286
3.12500,229.286
3.13542,230.429
3.14583,229.286
3.15625,231.143
3.16667,230.286
3.17708,233.143
3.18750,227.714
3.19792,230.429
