X,Y
3.32292,170.3158
3.33333,165.3158
3.34375,167.6842
3.35417,173.0526
3.36458,176.6842
3.37500,173.1053
3.38542,170.6842
3.39583,165.2632
3.40625,164.7368
3.41667,168.2632
3.42708,172.9474
3.43750,175.6842
3.44792,174.6316
3.45833,168.4737
3.46875,165.1053
3.47917,164.7368
3.48958,162.4211
3.50000,164.5263
3.51042,167.0526
3.52083,176.6842
3.53125,179.6316
3.54167,182.4211
3.55208,182.6316
3.56250,181.0526
3.57292,179.3158
3.58333,174.3158
3.59375,175.6842
3.60417,172.7895
3.61458,173.4737
3.62500,174.8421
3.63542,178.2632
3.64583,181.0526
3.65625,181.9474
3.66667,182.7368
3.67708,182.9474
3.68750,180.5263
3.69792,179.4211
3.70833,179.5263
3.71875,174.8947
3.72917,171.8421
3.73958,171.0526
3.75000,167.7368
3.76042,162.6842
3.77083,160.1579
3.78125,162.2632
3.79167,163.2632
3.80208,173.8947
3.81250,178.8421
3.82292,178.7895
3.83333,173.5789
3.84375,167.7895
3.85417,167.7368
3.86458,169.0000
3.87500,174.2105
3.88542,173.4211
3.89583,168.6316
3.90625,163.9474
3.91667,161.4737
3.92708,164.4211
3.93750,167.1579
3.94792,163.5789
3.95833,159.0000
3.96875,159.1053
3.97917,165.8947
3.98958,168.4211
4.00000,167.2632
4.01042,164.9474
4.02083,171.0526
4.03125,172.8947
4.04167,171.4211
4.05208,172.0000
4.06250,175.2632
4.07292,179.6842
4.08333,177.9474
4.09375,178.5789
4.10417,178.6316
4.11458,174.5263
4.12500,170.5263
4.13542,171.6316
4.14583,170.0526
4.15625,173.5789
4.16667,176.3684
4.17708,177.7895
4.18750,182.4737
4.19792,186.4211
4.20833,185.7895
4.21875,188.8421
4.22917,189.1053
4.23958,188.5789
4.25000,188.1053
4.26042,183.9474
4.27083,178.6316
4.28125,176.5789
4.29167,174.2632
4.30208,175.2105
4.31250,176.5263
4.32292,178.2632
4.33333,180.8947
4.34375,182.1579
4.35417,185.5789
4.36458,189.9474
4.37500,190.6842
4.38542,189.6316
4.39583,190.3684
4.40625,188.3684
4.41667,190.9474
4.42708,194.0000
4.43750,195.3158
4.44792,195.2632
4.45833,195.6316
4.46875,196.2632
4.47917,195.2632
4.48958,198.7895
4.50000,200.4211
4.51042,202.6842
4.52083,206.4211
4.53125,206.0526
4.54167,206.7368
4.55208,206.8947
4.56250,205.3684
4.57292,203.0526
4.58333,203.1579
4.59375,205.6842
4.60417,207.4737
4.61458,206.5263
4.62500,209.2105
4.63542,208.0000
4.64583,207.8947
4.65625,210.0000
4.66667,208.4737
4.67708,210.3158
4.68750,211.0526
4.69792,212.0000
4.70833,213.6842
4.71875,215.3684
4.72917,212.5789
4.73958,215.6316
4.75000,218.4211
4.76042,221.6316
4.77083,221.6316
4.78125,222.5263
4.79167,225.4737
4.80208,226.2105
4.81250,224.7895
4.82292,223.6316
4.83333,225.8421
4.84375,225.4737
4.85417,226.7895
4.86458,227.0526
4.87500,227.8421
4.88542,230.9474
4.89583,228.5263
4.90625,229.4737
4.91667,231.0000
4.92708,231.6316
4.93750,229.3158
4.94792,228.6316
4.95833,228.2632
4.96875,230.4737
4.97917,231.2105
4.98958,232.5263
5.00000,231.5263
5.01042,231.2105
5.02083,229.4737
5.03125,225.8947
5.04167,225.3158
5.05208,224.7895
5.06250,223.6842
5.07292,223.1053
5.08333,222.1579
5.09375,222.6316
5.10417,224.0000
5.11458,224.8947
5.12500,224.9474
5.13542,224.3158
5.14583,223.4737
5.15625,226.1579
5.16667,224.4211
5.17708,227.4737
5.18750,230.6842
5.19792,232.5789
5.20833,235.6316
5.21875,234.9474
5.22917,233.2632
5.23958,235.8421
5.25000,235.0000
5.26042,236.9474
5.27083,235.7368
5.28125,231.8421
5.29167,231.5789
5.30208,230.1053
5.31250,230.1579
5.32292,228.7895
5.33333,229.8947
5.34375,230.5789
5.35417,233.7895
5.36458,234.3158
5.37500,235.2632
5.38542,238.0000
5.39583,237.5263
5.40625,235.4211
5.41667,235.2632
5.42708,236.4211
5.43750,234.6316
5.44792,231.3158
5.45833,229.7895
5.46875,230.7895
5.47917,230.9474
5.48958,231.0000
5.50000,232.6316
5.51042,235.7368
5.52083,237.7895
5.53125,237.7368
5.54167,238.5263
5.55208,238.9474
5.56250,240.2105
5.57292,238.4211
5.58333,237.9474
5.59375,238.1053
5.60417,237.2105
5.61458,237.4737
5.62500,239.1053
5.63542,239.6316
5.64583,239.7368
5.65625,238.9474
5.66667,238.1053
5.67708,239.3684
5.68750,239.8947
5.69792,239.5789
5.70833,237.4211
5.71875,240.7368
5.72917,242.8421
5.73958,244.3158
5.75000,244.3684
5.76042,243.1579
5.77083,242.4211
5.78125,239.0000
5.79167,238.4211
5.80208,240.0526
5.81250,239.1579
5.82292,238.6316
5.83333,239.1579
5.84375,237.9474
5.85417,239.3158
5.86458,241.7368
5.87500,241.0000
5.88542,240.8947
5.89583,243.5263
5.90625,240.0526
5.91667,242.2105
5.92708,241.8947
5.93750,243.8947
5.94792,241.7895
5.95833,245.8947
5.96875,244.4211
5.97917,243.5789
5.98958,243.6316
6.00000,242.6316
6.01042,242.7368
6.02083,244.3684
6.03125,243.8421
6.04167,244.5789
6.05208,243.8421
6.06250,242.6842
6.07292,241.8947
6.08333,244.1053
6.09375,246.8421
6.10417,246.8947
6.11458,243.2632
6.12500,245.3158
6.13542,244.2105
6.14583,242.5263
6.15625,244.8421
6.16667,245.2105
6.17708,245.9474
6.18750,248.1579
6.19792,249.3684
6.20833,247.3684
6.21875,246.7895
6.22917,246.7368
6.23958,248.4737
6.25000,248.1053
6.26042,246.8947
6.27083,247.5263
6.28125,247.2105
6.29167,249.0000
6.30208,247.2105
6.31250,247.3158
6.32292,248.4211
6.33333,247.1579
6.34375,246.6842
6.35417,247.6316
6.36458,247.9474
6.37500,247.6316
6.38542,250.1053
6.39583,249.3684
6.40625,248.8421
6.41667,248.8421
6.42708,250.0000
6.43750,248.5263
6.44792,249.3684
6.45833,249.5789
6.46875,250.9474
6.47917,248.5789
6.48958,251.2105
6.50000,250.0000
6.51042,251.6316
6.52083,251.1053
6.53125,249.6316
6.54167,252.2632
6.55208,251.7368
6.56250,251.3158
6.57292,251.3684
6.58333,251.7368
6.59375,251.7368
6.60417,252.0000
6.61458,249.4211
6.62500,251.3158
6.63542,250.7895
6.64583,250.2105
6.65625,251.7895
6.66667,251.8947
6.67708,250.6316
6.68750,251.5789
6.69792,251.0000
6.70833,253.2632
6.71875,251.2632
6.72917,252.0000
6.73958,251.9474
6.75000,252.0526
6.76042,250.6316
6.77083,253.2105
6.78125,251.8947
6.79167,251.7368
6.80208,252.1053
6.81250,249.7895
6.82292,252.5263
6.83333,250.6316
6.84375,250.9474
6.85417,250.6316
6.86458,252.4211
6.87500,252.2632
6.88542,251.8947
6.89583,251.6842
6.90625,252.3158
6.91667,252.1053
6.92708,252.5263
6.93750,254.1579
6.94792,251.7368
6.95833,252.7895
6.96875,253.7895
6.97917,252.2105
6.98958,252.7895
7.00000,253.8947
7.01042,252.4737
7.02083,252.0526
7.03125,251.0000
7.04167,253.1579
7.05208,252.0526
7.06250,252.0000
7.07292,253.1579
7.08333,252.1579
7.09375,251.7895
7.10417,252.8421
7.11458,253.5789
7.12500,252.2632
7.13542,251.7895
7.14583,251.5789
7.15625,252.4737
7.16667,250.7895
7.17708,250.5789
7.18750,251.6842
7.19792,251.0000
7.20833,253.4737
7.21875,252.3684
7.22917,251.7895
7.23958,252.3158
7.25000,253.8421
7.26042,253.3158
7.27083,252.9474
7.28125,251.6842
7.29167,251.2632
7.30208,251.8421
7.31250,251.0000
7.32292,252.7368
7.33333,252.5789
7.34375,252.5263
